HourUTC;PriceArea;SpotPriceDKK;;SpotPriceEUR
2017-01-01T00:00:00+00:00;DK1;155,37;tt1;20,9
2017-01-01T01:00:00+00:00;DK1;134,78;tt2;18,13
2017-01-01T02:00:00+00:00;DK1;119,17;tt3;16,03
2017-01-01T03:00:00+00:00;DK1;122,14;tt4;16,43
2017-01-01T04:00:00+00:00;DK1;102,22;tt5;13,75
2017-01-01T05:00:00+00:00;DK1;82,52;tt6;11,1
2017-01-01T06:00:00+00:00;DK1;115;tt7;15,47
2017-01-01T07:00:00+00:00;DK1;125,49;tt8;16,88
2017-01-01T08:00:00+00:00;DK1;162,14;tt9;21,81
2017-01-01T09:00:00+00:00;DK1;195,07;tt10;26,24
2017-01-01T10:00:00+00:00;DK1;204,29;tt11;27,48
2017-01-01T11:00:00+00:00;DK1;208,45;tt12;28,04
2017-01-01T12:00:00+00:00;DK1;213,36;tt13;28,7
2017-01-01T13:00:00+00:00;DK1;220,49;tt14;29,66
2017-01-01T14:00:00+00:00;DK1;225,84;tt15;30,38
2017-01-01T15:00:00+00:00;DK1;228,97;tt16;30,8
2017-01-01T16:00:00+00:00;DK1;229,93;tt17;30,93
2017-01-01T17:00:00+00:00;DK1;228,82;tt18;30,78
2017-01-01T18:00:00+00:00;DK1;226,81;tt19;30,51
2017-01-01T19:00:00+00:00;DK1;224,43;tt20;30,19
2017-01-01T20:00:00+00:00;DK1;222,57;tt21;29,94
2017-01-01T21:00:00+00:00;DK1;220,42;tt22;29,65
2017-01-01T22:00:00+00:00;DK1;218,26;tt23;29,36
2017-01-01T23:00:00+00:00;DK1;218,56;tt24;29,4
2017-01-02T00:00:00+00:00;DK1;214,92;tt25;28,91
2017-01-02T01:00:00+00:00;DK1;208,97;tt26;28,11
2017-01-02T02:00:00+00:00;DK1;207,33;tt27;27,89
2017-01-02T03:00:00+00:00;DK1;206,14;tt28;27,73
2017-01-02T04:00:00+00:00;DK1;226,22;tt29;30,43
2017-01-02T05:00:00+00:00;DK1;244,21;tt30;32,85
