set_tt;set_tt_o;el3A80;el3A180;el1A80;el1A180;thA80;thA180;SpotPriceEUR
tt0;tt0;0;0;0;0;0;0;0
tt1;tt1;0,167;0,176;0,1;0,121;1,17244355;2,63975756;20,9
tt2;tt2;0,481;0,335;0,064;0,201;1,14817057;2,58505236;18,13
tt3;tt3;0,123;0,235;0,563;1,548;1,14460499;2,57702982;16,03
tt4;tt4;0,079;0,218;0,451;0,301;1,12317452;2,52881127;16,43
tt5;tt5;0,117;0,36;0,014;0,552;1,11425951;2,50875249;13,75
tt6;tt6;0,304;0,199;0,086;0,056;1,11245656;2,50469586;11,1
tt7;tt7;0,185;0,405;0,651;0,205;1,11250149;2,50479694;15,47
tt8;tt8;1,022;0,422;0,907;0,088;1,09788314;2,47190565;16,88
tt9;tt9;0,984;0,46;0,191;0,384;1,08667671;2,44669119;21,81
tt10;tt10;0,164;1,378;2,096;0,172;1,07011564;2,40942879;26,24
tt11;tt11;2,733;1,305;0,397;0,991;1,05247022;2,36972659;27,48
tt12;tt12;0,029;1,622;0,233;1,767;1,02479213;2,30745089;28,04
tt13;tt13;0,239;0,35;0,365;1,278;1,01200392;2,27867741;28,7
tt14;tt14;0,557;0,338;0,92;0,497;1,00542508;2,26387503;29,66
tt15;tt15;0,321;0,48;0,693;0,695;1,01244604;2,27967217;30,38
tt16;tt16;0,516;0,527;0,412;0,51;1,02208562;2,30136124;30,8
tt17;tt17;2,489;1,427;1,518;0,584;1,02597879;2,31012086;30,93
tt18;tt18;1,018;0,797;0,484;1,337;1,03451899;2,32933632;30,78
tt19;tt19;0,254;0,466;0,649;1,292;1,05216241;2,36903401;30,51
tt20;tt20;0,277;1,178;0,189;2,057;1,06130131;2,38959654;30,19
tt21;tt21;0,96;0,415;0,324;0,854;1,06353943;2,39463231;29,94
tt22;tt22;0,209;0,649;1,149;0,498;1,06470539;2,39725572;29,65
tt23;tt23;0,166;0,407;0,267;0,132;1,07215251;2,41401174;29,36
