;;;tt0
2017-01-01,00:00:00;;tt1;tt1
2017-01-01,01:00:00;;tt2;tt2
2017-01-01,02:00:00;;tt3;tt3
2017-01-01,03:00:00;;tt4;tt4
2017-01-01,04:00:00;;tt5;tt5
2017-01-01,05:00:00;;tt6;tt6
2017-01-01,06:00:00;;tt7;tt7
2017-01-01,07:00:00;;tt8;tt8
2017-01-01,08:00:00;;tt9;tt9
2017-01-01,09:00:00;;tt10;tt10
2017-01-01,10:00:00;;tt11;tt11
2017-01-01,11:00:00;;tt12;tt12
2017-01-01,12:00:00;;tt13;tt13
2017-01-01,13:00:00;;tt14;tt14
2017-01-01,14:00:00;;tt15;tt15
2017-01-01,15:00:00;;tt16;tt16
2017-01-01,16:00:00;;tt17;tt17
2017-01-01,17:00:00;;tt18;tt18
2017-01-01,18:00:00;;tt19;tt19
2017-01-01,19:00:00;;tt20;tt20
2017-01-01,20:00:00;;tt21;tt21
2017-01-01,21:00:00;;tt22;tt22
2017-01-01,22:00:00;;tt23;tt23
2017-01-01,23:00:00;;tt24;tt24
2017-01-02,00:00:00;;tt25;tt25
2017-01-02,01:00:00;;tt26;tt26
2017-01-02,02:00:00;;tt27;tt27
2017-01-02,03:00:00;;tt28;tt28
2017-01-02,04:00:00;;tt29;tt29
2017-01-02,05:00:00;;tt30;tt30
2017-01-02,06:00:00;;tt31;tt31
2017-01-02,07:00:00;;tt32;tt32
2017-01-02,08:00:00;;tt33;tt33
2017-01-02,09:00:00;;tt34;tt34
2017-01-02,10:00:00;;tt35;tt35
2017-01-02,11:00:00;;tt36;tt36
2017-01-02,12:00:00;;tt37;tt37
2017-01-02,13:00:00;;tt38;tt38
2017-01-02,14:00:00;;tt39;tt39
2017-01-02,15:00:00;;tt40;tt40
2017-01-02,16:00:00;;tt41;tt41
2017-01-02,17:00:00;;tt42;tt42
2017-01-02,18:00:00;;tt43;tt43
2017-01-02,19:00:00;;tt44;tt44
2017-01-02,20:00:00;;tt45;tt45
2017-01-02,21:00:00;;tt46;tt46
2017-01-02,22:00:00;;tt47;tt47
2017-01-02,23:00:00;;tt48;tt48
2017-01-03,00:00:00;;tt49;tt49
2017-01-03,01:00:00;;tt50;tt50
2017-01-03,02:00:00;;tt51;tt51
2017-01-03,03:00:00;;tt52;tt52
2017-01-03,04:00:00;;tt53;tt53
2017-01-03,05:00:00;;tt54;tt54
2017-01-03,06:00:00;;tt55;tt55
2017-01-03,07:00:00;;tt56;tt56
2017-01-03,08:00:00;;tt57;tt57
2017-01-03,09:00:00;;tt58;tt58
2017-01-03,10:00:00;;tt59;tt59
2017-01-03,11:00:00;;tt60;tt60
2017-01-03,12:00:00;;tt61;tt61
2017-01-03,13:00:00;;tt62;tt62
2017-01-03,14:00:00;;tt63;tt63
