"DateTime";"Stråling"
"2021-09-01 00:00:00";0
"2021-09-01 01:00:00";0
"2021-09-01 02:00:00";0
"2021-09-01 03:00:00";0
"2021-09-01 04:00:00";0
"2021-09-01 05:00:00";16
"2021-09-01 06:00:00";85
"2021-09-01 07:00:00";227
"2021-09-01 08:00:00";396
"2021-09-01 09:00:00";528
"2021-09-01 10:00:00";612
"2021-09-01 11:00:00";630
"2021-09-01 12:00:00";682
"2021-09-01 13:00:00";642
"2021-09-01 14:00:00";533
"2021-09-01 15:00:00";466
"2021-09-01 16:00:00";367
"2021-09-01 17:00:00";176
"2021-09-01 18:00:00";44
"2021-09-01 19:00:00";2
"2021-09-01 20:00:00";0
"2021-09-01 21:00:00";0
"2021-09-01 22:00:00";0
"2021-09-01 23:00:00";0
"2021-09-02 00:00:00";0
"2021-09-02 01:00:00";0
"2021-09-02 02:00:00";0
"2021-09-02 03:00:00";0
"2021-09-02 04:00:00";0
"2021-09-02 05:00:00";18
"2021-09-02 06:00:00";123
"2021-09-02 07:00:00";263
"2021-09-02 08:00:00";407
"2021-09-02 09:00:00";527
"2021-09-02 10:00:00";549
"2021-09-02 11:00:00";672
"2021-09-02 12:00:00";662
"2021-09-02 13:00:00";621
"2021-09-02 14:00:00";546
"2021-09-02 15:00:00";429
"2021-09-02 16:00:00";292
"2021-09-02 17:00:00";155
"2021-09-02 18:00:00";38
"2021-09-02 19:00:00";1
"2021-09-02 20:00:00";0
"2021-09-02 21:00:00";0
"2021-09-02 22:00:00";0
"2021-09-02 23:00:00";0
"2021-09-03 00:00:00";0
"2021-09-03 01:00:00";0
"2021-09-03 02:00:00";0
"2021-09-03 03:00:00";0
"2021-09-03 04:00:00";0
"2021-09-03 05:00:00";13
"2021-09-03 06:00:00";77
"2021-09-03 07:00:00";216
"2021-09-03 08:00:00";402
"2021-09-03 09:00:00";525
"2021-09-03 10:00:00";613
"2021-09-03 11:00:00";666
"2021-09-03 12:00:00";699
"2021-09-03 13:00:00";688
"2021-09-03 14:00:00";557
"2021-09-03 15:00:00";426
"2021-09-03 16:00:00";291
"2021-09-03 17:00:00";151
"2021-09-03 18:00:00";35
"2021-09-03 19:00:00";0
"2021-09-03 20:00:00";0
"2021-09-03 21:00:00";0
"2021-09-03 22:00:00";0
"2021-09-03 23:00:00";0
"2021-09-04 00:00:00";0
"2021-09-04 01:00:00";0
"2021-09-04 02:00:00";0
"2021-09-04 03:00:00";0
"2021-09-04 04:00:00";0
"2021-09-04 05:00:00";15
"2021-09-04 06:00:00";111
"2021-09-04 07:00:00";251
"2021-09-04 08:00:00";408
"2021-09-04 09:00:00";500
"2021-09-04 10:00:00";569
"2021-09-04 11:00:00";588
"2021-09-04 12:00:00";629
"2021-09-04 13:00:00";607
"2021-09-04 14:00:00";551
"2021-09-04 15:00:00";441
"2021-09-04 16:00:00";290
"2021-09-04 17:00:00";148
"2021-09-04 18:00:00";32
"2021-09-04 19:00:00";0
"2021-09-04 20:00:00";0
"2021-09-04 21:00:00";0
"2021-09-04 22:00:00";0
"2021-09-04 23:00:00";0
"2021-09-05 00:00:00";0
"2021-09-05 01:00:00";0
"2021-09-05 02:00:00";0
"2021-09-05 03:00:00";0
"2021-09-05 04:00:00";0
"2021-09-05 05:00:00";16
"2021-09-05 06:00:00";120
"2021-09-05 07:00:00";261
"2021-09-05 08:00:00";409
"2021-09-05 09:00:00";534
"2021-09-05 10:00:00";624
"2021-09-05 11:00:00";665
"2021-09-05 12:00:00";646
"2021-09-05 13:00:00";616
"2021-09-05 14:00:00";544
"2021-09-05 15:00:00";426
"2021-09-05 16:00:00";266
"2021-09-05 17:00:00";95
"2021-09-05 18:00:00";25
"2021-09-05 19:00:00";0
"2021-09-05 20:00:00";0
"2021-09-05 21:00:00";0
"2021-09-05 22:00:00";0
"2021-09-05 23:00:00";0
"2021-09-06 00:00:00";0
"2021-09-06 01:00:00";0
"2021-09-06 02:00:00";0
"2021-09-06 03:00:00";0
"2021-09-06 04:00:00";0
"2021-09-06 05:00:00";10
"2021-09-06 06:00:00";69
"2021-09-06 07:00:00";132
"2021-09-06 08:00:00";263
"2021-09-06 09:00:00";457
"2021-09-06 10:00:00";394
"2021-09-06 11:00:00";374
"2021-09-06 12:00:00";411
"2021-09-06 13:00:00";438
"2021-09-06 14:00:00";277
"2021-09-06 15:00:00";199
"2021-09-06 16:00:00";128
"2021-09-06 17:00:00";94
"2021-09-06 18:00:00";15
"2021-09-06 19:00:00";0
"2021-09-06 20:00:00";0
"2021-09-06 21:00:00";0
"2021-09-06 22:00:00";0
"2021-09-06 23:00:00";0
"2021-09-07 00:00:00";0
"2021-09-07 01:00:00";0
"2021-09-07 02:00:00";0
"2021-09-07 03:00:00";0
"2021-09-07 04:00:00";0
"2021-09-07 05:00:00";11
"2021-09-07 06:00:00";108
"2021-09-07 07:00:00";184
"2021-09-07 08:00:00";313
"2021-09-07 09:00:00";380
"2021-09-07 10:00:00";546
"2021-09-07 11:00:00";599
"2021-09-07 12:00:00";632
"2021-09-07 13:00:00";591
"2021-09-07 14:00:00";466
"2021-09-07 15:00:00";395
"2021-09-07 16:00:00";274
"2021-09-07 17:00:00";95
"2021-09-07 18:00:00";7
"2021-09-07 19:00:00";0
"2021-09-07 20:00:00";0
"2021-09-07 21:00:00";0
"2021-09-07 22:00:00";0
"2021-09-07 23:00:00";0
"2021-09-08 00:00:00";0
"2021-09-08 01:00:00";0
"2021-09-08 02:00:00";0
"2021-09-08 03:00:00";0
"2021-09-08 04:00:00";0
"2021-09-08 05:00:00";3
"2021-09-08 06:00:00";21
"2021-09-08 07:00:00";61
"2021-09-08 08:00:00";105
"2021-09-08 09:00:00";284
"2021-09-08 10:00:00";293
"2021-09-08 11:00:00";469
"2021-09-08 12:00:00";499
"2021-09-08 13:00:00";485
"2021-09-08 14:00:00";322
"2021-09-08 15:00:00";308
"2021-09-08 16:00:00";161
"2021-09-08 17:00:00";43
"2021-09-08 18:00:00";12
"2021-09-08 19:00:00";0
"2021-09-08 20:00:00";0
"2021-09-08 21:00:00";0
"2021-09-08 22:00:00";0
"2021-09-08 23:00:00";0
"2021-09-09 00:00:00";0
"2021-09-09 01:00:00";0
"2021-09-09 02:00:00";0
"2021-09-09 03:00:00";0
"2021-09-09 04:00:00";0
"2021-09-09 05:00:00";4
"2021-09-09 06:00:00";36
"2021-09-09 07:00:00";180
"2021-09-09 08:00:00";350
"2021-09-09 09:00:00";467
"2021-09-09 10:00:00";555
"2021-09-09 11:00:00";605
"2021-09-09 12:00:00";617
"2021-09-09 13:00:00";581
"2021-09-09 14:00:00";488
"2021-09-09 15:00:00";372
"2021-09-09 16:00:00";240
"2021-09-09 17:00:00";110
"2021-09-09 18:00:00";16
"2021-09-09 19:00:00";0
"2021-09-09 20:00:00";0
"2021-09-09 21:00:00";0
"2021-09-09 22:00:00";0
"2021-09-09 23:00:00";0
"2021-09-10 00:00:00";0
"2021-09-10 01:00:00";0
"2021-09-10 02:00:00";0
"2021-09-10 03:00:00";0
"2021-09-10 04:00:00";0
"2021-09-10 05:00:00";6
"2021-09-10 06:00:00";86
"2021-09-10 07:00:00";219
"2021-09-10 08:00:00";355
"2021-09-10 09:00:00";470
"2021-09-10 10:00:00";547
"2021-09-10 11:00:00";595
"2021-09-10 12:00:00";598
"2021-09-10 13:00:00";377
"2021-09-10 14:00:00";337
"2021-09-10 15:00:00";196
"2021-09-10 16:00:00";102
"2021-09-10 17:00:00";51
"2021-09-10 18:00:00";5
"2021-09-10 19:00:00";0
"2021-09-10 20:00:00";0
"2021-09-10 21:00:00";0
"2021-09-10 22:00:00";0
"2021-09-10 23:00:00";0
"2021-09-11 00:00:00";0
"2021-09-11 01:00:00";0
"2021-09-11 02:00:00";0
"2021-09-11 03:00:00";0
"2021-09-11 04:00:00";0
"2021-09-11 05:00:00";5
"2021-09-11 06:00:00";31
"2021-09-11 07:00:00";43
"2021-09-11 08:00:00";67
"2021-09-11 09:00:00";134
"2021-09-11 10:00:00";173
"2021-09-11 11:00:00";314
"2021-09-11 12:00:00";440
"2021-09-11 13:00:00";306
"2021-09-11 14:00:00";347
"2021-09-11 15:00:00";191
"2021-09-11 16:00:00";132
"2021-09-11 17:00:00";43
"2021-09-11 18:00:00";9
"2021-09-11 19:00:00";0
"2021-09-11 20:00:00";0
"2021-09-11 21:00:00";0
"2021-09-11 22:00:00";0
